Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,227.000000,228.699997,224.309998,225.529999,223.479355,28774200
2020-09-01,225.509995,227.449997,224.429993,227.270004,225.203552,25725500
2020-09-02,227.970001,232.860001,227.350006,231.649994,229.543701,34080800
2020-09-03,229.270004,229.309998,214.960007,217.300003,215.324188,58400300
2020-09-04,215.100006,218.360001,205.190002,214.250000,212.301926,59664100
2020-09-08,206.500000,210.029999,202.199997,202.660004,200.817307,52924300
2020-09-09,207.600006,214.839996,206.699997,211.289993,209.368820,45679000
2020-09-10,213.399994,214.740005,204.110001,205.369995,203.502640,35461500
2020-09-11,207.199997,208.630005,201.240005,204.029999,202.174850,33620100
2020-09-14,204.240005,209.199997,204.029999,205.410004,203.542297,30375800
2020-09-15,208.419998,209.779999,206.929993,208.779999,206.881653,21823900
2020-09-16,210.619995,210.649994,204.639999,205.050003,203.185562,26328100
2020-09-17,200.050003,204.330002,199.960007,202.910004,201.065033,34011300
2020-09-18,202.800003,203.649994,196.250000,200.389999,198.567947,55225300
2020-09-21,197.190002,202.710007,196.380005,202.539993,200.698380,39839700
2020-09-22,205.059998,208.100006,202.080002,207.419998,205.534012,33517100
2020-09-23,207.899994,208.100006,200.029999,200.589996,198.766129,30803800
2020-09-24,199.850006,205.570007,199.199997,203.190002,201.342484,31202500
2020-09-25,203.550003,209.039993,202.539993,207.820007,205.930389,29437300
2020-09-28,210.880005,212.570007,208.059998,209.440002,207.535629,32004900
2020-09-29,209.350006,210.070007,206.809998,207.259995,205.375473,24221900
2020-09-30,207.729996,211.979996,206.539993,210.330002,208.417557,33829100
2020-10-01,213.490005,213.990005,211.320007,212.460007,210.528198,27158400
2020-10-02,208.000000,210.990005,205.539993,206.190002,204.315201,33154800
2020-10-05,207.220001,210.410004,206.979996,210.380005,208.467117,21331600
2020-10-06,208.820007,210.179993,204.820007,205.910004,204.037735,28554300
2020-10-07,207.059998,210.110001,206.720001,209.830002,207.922119,25681100
2020-10-08,210.509995,211.190002,208.320007,210.580002,208.665298,19925800
2020-10-09,211.229996,215.860001,211.229996,215.809998,213.847733,26458000
2020-10-12,218.789993,223.860001,216.809998,221.399994,219.386902,40461400
2020-10-13,222.720001,225.210007,220.429993,222.860001,220.833618,28950800
2020-10-14,223.000000,224.220001,219.130005,220.860001,218.851807,23421700
2020-10-15,217.100006,220.360001,216.009995,219.660004,217.662735,22733100
2020-10-16,220.149994,222.289993,219.320007,219.660004,217.662735,26057900
2020-10-19,220.419998,222.300003,213.720001,214.220001,212.272202,27625800
2020-10-20,215.800003,217.369995,213.089996,214.649994,212.698257,22753500
2020-10-21,213.119995,216.919998,213.119995,214.800003,212.846924,22724900
2020-10-22,213.929993,216.059998,211.699997,214.889999,212.936081,22351500
2020-10-23,215.029999,216.279999,213.160004,216.229996,214.263916,18879600
2020-10-26,213.850006,216.339996,208.100006,210.080002,208.169830,37111600
2020-10-27,211.589996,214.669998,210.330002,213.250000,211.311005,36700300
2020-10-28,207.669998,208.839996,202.100006,202.679993,200.837128,51195600
2020-10-29,204.070007,207.360001,203.369995,204.720001,202.858551,31432600
2020-10-30,203.500000,204.289993,199.619995,202.470001,200.629028,36953700
2020-11-02,204.289993,205.279999,200.119995,202.330002,200.490311,30842200
2020-11-03,203.889999,208.119995,203.119995,206.429993,204.553009,27512000
2020-11-04,214.020004,218.320007,212.419998,216.389999,214.422455,42311800
2020-11-05,222.039993,224.119995,221.149994,223.289993,221.259720,36080100
2020-11-06,222.259995,224.360001,218.029999,223.720001,221.685806,25231900
2020-11-09,224.440002,228.119995,217.880005,218.389999,216.404282,44395000
2020-11-10,214.500000,216.500000,209.720001,211.009995,209.091385,44045100
2020-11-11,212.389999,218.039993,212.199997,216.550003,214.581009,29440800
2020-11-12,217.210007,219.110001,214.460007,215.440002,213.481094,21593900
2020-11-13,216.360001,217.419998,214.160004,216.509995,214.541367,18621100
2020-11-16,214.869995,217.740005,214.520004,217.229996,215.254822,24953300
2020-11-17,216.100006,217.679993,214.080002,214.460007,212.510025,24154100
2020-11-18,213.649994,215.169998,210.929993,211.080002,209.708328,28372800
2020-11-19,211.380005,213.029999,209.929993,212.419998,211.039627,24792700
2020-11-20,212.199997,213.289993,210.000000,210.389999,209.022812,22843100
2020-11-23,210.949997,212.289993,208.160004,210.110001,208.744629,25683500
2020-11-24,209.589996,214.250000,208.860001,213.860001,212.470276,33979700
2020-11-25,215.110001,215.289993,212.460007,213.869995,212.480209,21012900
2020-11-27,214.850006,216.270004,214.039993,215.229996,213.831360,14512200
2020-11-30,214.100006,214.759995,210.839996,214.070007,212.678909,33064800
2020-12-01,214.509995,217.320007,213.350006,216.210007,214.805008,30904500
2020-12-02,214.880005,215.470001,212.800003,215.369995,213.970444,23724500
2020-12-03,214.610001,216.380005,213.649994,214.240005,212.847809,25120900
2020-12-04,214.220001,215.380005,213.179993,214.360001,212.967026,24666000
2020-12-07,214.369995,215.539993,212.990005,214.289993,212.897461,24620000
2020-12-08,213.970001,216.949997,212.889999,216.009995,214.606293,23284100
2020-12-09,215.160004,215.229996,211.210007,211.800003,210.423660,32440600
2020-12-10,211.770004,213.080002,210.360001,210.520004,209.151962,26733300
2020-12-11,210.050003,213.320007,209.110001,213.259995,211.874161,30979400
2020-12-14,213.100006,216.210007,212.880005,214.199997,212.808060,28798400
2020-12-15,215.169998,215.419998,212.240005,214.130005,212.738510,27000600
2020-12-16,214.750000,220.110001,214.720001,219.279999,217.855042,35023300
2020-12-17,219.869995,220.889999,217.919998,219.419998,217.994141,32515800
2020-12-18,218.589996,219.690002,216.020004,218.589996,217.169525,63354900
2020-12-21,217.550003,224.000000,217.279999,222.589996,221.143524,37181900
2020-12-22,222.690002,225.630005,221.850006,223.940002,222.484772,22612200
2020-12-23,223.110001,223.559998,220.800003,221.020004,219.583740,18699600
2020-12-24,221.419998,223.610001,221.199997,222.750000,221.302490,10550600
2020-12-28,224.449997,226.029999,223.020004,224.960007,223.498138,17933500
2020-12-29,226.309998,227.179993,223.580002,224.149994,222.693390,17403200
2020-12-30,225.229996,225.630005,221.470001,221.679993,220.239456,20272300
2020-12-31,221.699997,223.000000,219.679993,222.419998,220.974640,20942100
2021-01-04,222.529999,223.000000,214.809998,217.690002,216.275375,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,216.484009,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,210.870728,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,216.871460,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,218.192841,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,216.076675,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,213.533310,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,214.934143,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,211.635742,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,211.268112,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,215.033508,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,222.882172,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,223.508087,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,224.481705,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,228.038452,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,230.820251,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,231.386536,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,237.377350,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,230.452637,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,238.092667,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,237.953583,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,241.420914,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,240.437332,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,240.626099,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,240.894348,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,242.185898,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,241.242081,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,242.901215,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,243.397980,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,242.116348,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,243.171890,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,242.763611,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,239.955490,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,233.522675,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,232.287903,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,233.562515,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,228.025925,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,231.401657,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,235.942459,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,232.885376,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,226.601944,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,225.775436,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,230.624939,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,226.432663,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,232.795746,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,231.441483,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,236.131653,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,234.757462,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,233.821411,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,236.709213,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,236.042023,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,229.748642,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,229.380203,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,234.996460,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,236.579773,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,234.468689,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,231.361816,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,235.484375,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,234.249619,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,230.873886,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,234.777374,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,241.329681,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,248.021393,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,246.816467,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,248.847885,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,252.183777,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,254.772842,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,254.832581,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,257.401733,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,254.513931,23070900
